EIN,Name,City,State
651262938,THE TALITHA CUMI FOUNDATION INC,LAYTONSVILLE,MD
526051197,THE TOBY AND MELVIN FOUNDATION INC,STEVENSON,MD
132782826,THE TRUSTEES OF THE LADEW TOPIARY GARDENS INC,MONKTON,MD
521419499,THE UNITED STATE PONY CLUBS INC,FREDERICK,MD
521907797,THE WALTER M MEINHARDT SR FAMILY FOUNDATION INC,BRANDYWINE,MD
521241760,THE WASHINGTON SOCIETY FOR CLOSE HARMONY SINGING INC,CHEVY CHASE,MD
521377945,THE WILLIAM & JEAN SCHULTE FOUNDATION INC,WOODBINE,MD
521818824,THE WILLIAM AND VIVIENNE STARK FAMILY FOUNDATION,CHEVY CHASE,MD
462093202,THE WOMEN EMPOWERMENT PROJECT INC,BURTONSVILLE,MD
522243028,THE@WOLMAN FAMILY FOUNDATION INC,PIKESVILLE,MD
901027449,THEATRE CONSORTIUM OF SILVER SPRING,SILVER SPRING,MD
205211744,THERAFIT GYM FOR THE DISABLED INC,WESTMINSTER,MD
522336568,THIRD MILLENNIUM ENSEMBLE,FREDERICK,MD
452723370,THIS IS AMERICA FOUNDATION INC,TAKOMA PARK,MD
526050776,THOMAS F & CLEMENTINE L MULLAN FOUNDATION INC,LUTHERVILLE,MD
264225615,THOMAS JOHNSON HIGH SCHOOL PATRIOTS BOOSTERS INC,FREDERICK,MD
521048818,THURMONT BASEBALL INC,THURMONT,MD
521893453,THURMONT MINISTERIUM INC,THURMONT,MD
521757635,TIME FOR EQUALITY IN ADVENTIST MINISTRY,LANGLEY PARK,MD
526064063,TIMONIUM OPTIMIST FOUNDATION INC,LUTHVLE TIMON,MD
202886272,TININA Q CADE FOUNDATION INC,OWINGS MILLS,MD
462362602,TIP ME FREDERICK INC,WALKERSVILLE,MD
352457233,TISSUE BANK ASBESTOS RESEARCH CHARITABLE TRUST,LANDOVER,MD
200916545,TIZMORET INC,BALTIMORE,MD
473697248,TJE THE JEWISH ENTREPRENEUR,BALTIMORE,MD
522063255,TLT GROUP INC,TAKOMA PARK,MD
900115642,TOASTMASTERS INTERNATIONAL,SILVER SPRING,MD
521704302,TODAYS FAMILY MINISTRIES INC,CHURCHVILLE,MD
522345658,TODDS INHERITANCE HISTORIC SITE,DAYTON,MD
161771131,TOGO MISSION INC,GAITHERSBURG,MD
521905859,TOM & GLORY SULLIVAN FOUNDATION INC,POTOMAC,MD
10628399,TONI MARTIAL ARTS INC,SILVER SPRING,MD
521283426,TOURETTE ASSOCIATION OF AMERICA INC,PIKESVILLE,MD
521701221,TOWSON CATHOLIC HIGH SCHOOL ALUMNI ASSOCIATION INC,JARRETTSVILLE,MD
521884301,TOWSON HIGH SCHOOL SPORTS BOOSTERS CLUB INC,TOWSON,MD
520701636,TOWSON PRESBYTERIAN KINDERGARTEN INC,TOWSON,MD
520939453,TOWSON UNIVERSITY FOUNDATION INC,TOWSON,MD
202484470,TRACK EXPRESS TRACK CLUB INC,UPPR MARLBORO,MD
522217206,TRANSITIONAL HOUSING RESOURCES INC,COLUMBIA,MD
521736533,TRANSPLANT RESOURCE CENTER OF MARYLAND INC,BALTIMORE,MD
521094169,TREATMENT RESOURCES FOR YOUTH,BALTIMORE,MD
814269650,TREE HOUSE CHILD ADVOCACY CENTER OF MONTGOMERY COUNTY MD INC,ROCKVILLE,MD
471313289,TRELLIS ARCH CORPORATION,MONROVIA,MD
452119783,TRI-STATE CHRISTIAN ACADEMY INC,ELKTON,MD
521255999,TRI-STATE COMMUNITY CONCERT ASSOC INC,CUMBERLAND,MD
271709485,TRI-STATE COMMUNITY SCHOOL OF THE ARTS INC,CUMBERLAND,MD
260385709,TRICO CLINICAL SERVICES LTD,LEXINGTON PK,MD
521511264,TRINIDAD AND TOBAGO ASSOCIATION OF BALTIMORE INC,BALTIMORE,MD
521647766,TRINITY BIBLE MISSION CHURCH,CHEVERLY,MD
522198052,TRINITY CHAMBER ORCHESTRA INC,GERMANTOWN,MD
680656974,TRINITY RESCUE SOUL ORG,BALTIMORE,MD
260729957,TRISONS FOUNDATION INC,FULTON,MD
520663103,TRUSTEES OF THE EDUCATION FUND OF THE BALTIMORE ANNUAL CONFERENCE,SILVER SPRING,MD
261388983,TRUTH FOR YOUTH AMERICA INC,UPPR MARLBORO,MD
201149471,TURKISH-AMERICAN SCIENTISTS AND SCHOLARS ASSOCIATION INC,ROCKVILLE,MD
200044783,TUSCARORA HIGH SCHOOL ATHLETIC BOOSTERSINC,FREDERICK,MD
522069385,TWIN BEACHES SENIOR CENTER COUNCIL INC,NORTH BEACH,MD
205577071,TYLER P FICK FOUNDATION INC,TIMONIUM,MD
753255999,U S ELITE INTERNATIONAL TRACK AND FIELD INC,UPPR MARLBORO,MD
521579053,U S ZEN INSTITUTE INC,GERMANTOWN,MD
201902805,UKRAINE CHILDRENS AID FUND INC,ELLICOTT CITY,MD
203239996,ULTIMATE POWER OF GOD INTERNATIONAL MINISTRY,BALTIMORE,MD
204900714,UNCHAINED TALENT INC,BALTIMORE,MD
43769455,UNCOVERING CUBA EDUCATIONAL FOUNDATION CORP,SILVER SPRING,MD
521116355,UNICORN PROJECTS INC,ROCKVILLE,MD
204373593,UNIFIED BUDDHIST CHURCH ENDOWMENT,ELLICOTT CITY,MD
520846223,UNION BAPTIST CHURCH-SCHOOL,BALTIMORE,MD
526043884,UNION BRIDGE VOLUNTEER FIRE COMPANY INC,UNION BRIDGE,MD
526067620,UNION MILLS HOMESTEAD FOUNDATION INC,WESTMINSTER,MD
262039575,UNIQUE PARENTS CHEER ASSOCIATION,COLUMBIA,MD
453320677,UNITED 2 SAVE ANIMALS INC,FREDERICK,MD
521784758,UNITED BASSA LIBERIA ORGANIZATION IN THE AMERICAS,BURTONSVILLE,MD
526056332,UNITED FUND OF TALBOT COUNTY INC,EASTON,MD
521917979,UNITED JEWISH APPEAL FEDERATION OF ANNE ARUNDEL COUNTY,ANNAPOLIS,MD
526056971,UNITED LODGE OF THEOSOPHISTS,BETHESDA,MD
521232175,UNITED NEEDS AND ABILITIES INC,SALISBURY,MD
526067207,UNITED STATE PONY CLUBS INC,FREDERICK,MD
522009514,UNITED STATES ASSOCIATION FOR BODY PSYCHOTHERAPY,SILVER SPRING,MD
30593713,UNITED STATES BOWLING CONGRESS INC,HVRE DE GRACE,MD
203684242,UNITED STATES BOWLING CONGRESS INC,PERRYVILLE,MD
900276658,UNITED STATES BOWLING CONGRESS INC,UPPR MARLBORO,MD
521727638,UNITED STATES CHINESE KUOSHU FEDERATION INC,REISTERSTOWN,MD
522265700,UNITED STATES NAVAL ACADEMY CLASS OF 1968 INC,ANNAPOLIS,MD
237003516,UNITED STATES NAVAL ACADEMY FOUNDATION INC,ANNAPOLIS,MD
521835746,UNITED STATES OF AMERICA WUSHU- KUNGFU FEDERATION INC,PARKVILLE,MD
540913876,UNITED STATES ORIENTEERING FEDERATION,RIDERWOOD,MD
237010996,UNITED STATES PONY CLUBS INC,GAITHERSBURG,MD
526054778,UNITED STATES POWER SQUADRONS,SALISBURY,MD
650732725,UNITED STATES SPAIN COUNCIL INC,BETHESDA,MD
522340451,UNITED SUPPORT FOUNDATION INC,POTOMAC,MD
521303591,UNITED WAY OF CAROLINE COUNTY MARYLAND INC,DENTON,MD
520607973,UNITED WAY OF FREDERICK COUNTY INCORPORATED,FREDERICK,MD
204345458,UNITED WORKERS ASSOCIATION INC,ANNAPOLIS,MD
800477705,UNIVERSAL EVANGELICAL CHURCH USA,SILVER SPRING,MD
522155576,UNIVERSITY OF MARYLAND CHARLES REGIONAL HEALTH INC,LA PLATA,MD
521726248,UNIVERSITY OF MARYLAND DERMATOLOGISTS P A,BALTIMORE,MD
521136675,UNIVERSITY OF MARYLAND DIAGNOSTIC IMAGING SPECIALISTS P A,BALTIMORE,MD
521667682,UNIVERSITY OF MARYLAND EASTERN SHORE NATIONAL ALUMNI ASSOCIATION,PRINCESS ANNE,MD
521274266,UNIVERSITY OF MARYLAND FAMILY MEDICINE ASSOCIATES PA,BALTIMORE,MD
521175337,UNIVERSITY OF MARYLAND MIDTOWN HEALTH INC,BALTIMORE,MD
