EIN,Name,City,State
263918392,MCCOY CENTER FOR FAMILY AND YOUTH SERVICES,UPPR MARLBORO,MD
521116655,MD LINE FIRE PROT ASSN INC,MARYLAND LINE,MD
521836657,MEADE NATURAL HERITAGE ASSOCIATION INC,SEVERN,MD
521003369,MEALS ON WHEELS OF THE COLLEGE PARK AREA INC,COLLEGE PARK,MD
205706103,MECHANICSVILLE YOUTH LACROSSE CLUB INCORPORATED,MECHANICSVLLE,MD
522197393,MEDBANK OF MARYLAND INC,OWINGS MILLS,MD
521244343,MEDICAL ILLNESS COUNSELING CENTER INC,GAITHERSBURG,MD
521039364,MEDICAL STAFF OF THE BALTIMORE COUNTY GENERAL HOSPITAL,RANDALLSTOWN,MD
521483174,MEDICAL TECHNOLOGY AND PRACTICE PATTERNS INSTITUTE INC,BETHESDA,MD
452427727,MEDMISSION2000 INC,SEVERNA PARK,MD
521132992,MEDSTAR AMBULATORY SERVICES INC,COLUMBIA,MD
311586974,MEE MULTI PURPOSE CENTER EAST AND DEVELOPMENT INC,BALTIMORE,MD
550888506,MEGHAN C PULS FOUNDATION INC,ELLICOTT CITY,MD
416019581,MELAMED FOUNDATION,N BETHESDA,MD
520857690,MELWOOD HORTICULTURAL TRAINING CENTER INC,UPPR MARLBORO,MD
526058564,MEMORIAL APARTMENTS CORPORATION,BALTIMORE,MD
520591666,MENTAL HEALTH ASSOCIATION OF MARYLAND INC,LUTHERVILLE,MD
522323330,MENTORING MALE TEENS IN THE HOOD,ELLICOTT CITY,MD
520607949,MERITUS MEDICAL CENTER INC,HAGERSTOWN,MD
522153763,METAMORPHOSIS LIVING CONNECTION INTERNATIONAL INC,GERMANTOWN,MD
521660765,METHODISTS UNITED PEACE-JUSTICE EDUCATION FUND,GAITHERSBURG,MD
455299626,METRO BI FOUNDATION CORP,LANHAM,MD
521174800,METRO CRIME STOPPERS INC,BALTIMORE,MD
521042867,METRO MARYLAND OSTOMY ASSN INC,ROCKVILLE,MD
582052017,METRO MINISTRIES,BALTIMORE,MD
770696821,METROPOLITAN SATURDAY ACADEMY SCIENCE AND TECHNOLOGY PROGRAM,UPPR MARLBORO,MD
522088460,MEYER BOBROW FAMILY FOUNDATION INC,GAITHERSBURG,MD
454535322,MEZU INTERNATIONAL FOUNDATION INC,BALTIMORE,MD
61752363,MGVP INC,BALTIMORE,MD
50542984,MICHAEL FEINGLASS FOUNDATION INC,PIKESVILLE,MD
474255474,MICHAEL MOSIER DEFEAT DIPG FOUNDATION,BETHESDA,MD
522053540,MICHAEL P COOPER MEMORIAL FUND INC,PRINCESS ANNE,MD
204531446,MICHAELS HOUSE INC,BURTONSVILLE,MD
522248348,MICKEY DALE FAMILY FOUNDATION INC,LEXINGTON PK,MD
521169382,MID ATLANTIC ARTS FOUNDATION INC,BALTIMORE,MD
