EIN,Name,City,State
475340053,WINGS OF LOVE KUWAIT INC,BALTIMORE,MD
522148741,WINNERS COMMUNITY INC,ADAMSTOWN,MD
454885141,WISE WINNING IN SPORTS AND EDUCATION INC,LAUREL,MD
10558045,WISH-A-FISH FOUNDATION INC,SEVERN,MD
521782708,WITNESS INTERNATIONAL INC,SALISBURY,MD
521474545,WOLFSVILLE VOLUNTEER FIRE COMPANY INC,MYERSVILLE,MD
264820743,WOMAN OF PARADISE,CLARKSBURG,MD
475036335,WOMAN TO WOMAN MENTORING INC,FREDERICK,MD
264388708,WOMEN CORPORATION FOR ACTIONS,SILVER SPRING,MD
541902004,WOMEN IN NEED INC,CHESTERTOWN,MD
710916438,WOMEN IN TRANSITION INC,BALTIMORE,MD
208050197,WOMEN LEGISLATORS OF MARYLAND FOUNDATION INC,ANNAPOLIS,MD
900607695,WOMEN OF WISDOM MINISTRY,WALDORF,MD
521870971,WOMEN SUPPORTING WOMEN INC,SALISBURY,MD
521326455,WOMENS CLUB OF DENTON INC,DENTON,MD
521647445,WON BUDDHISM OF THE USA INC,ROCKVILLE,MD
753061578,WOODBERRY LAND TRUST,BALTIMORE,MD
522299070,WOODBOURNE WOODS INC,BALTIMORE,MD
522033144,WOODLAND COMMITTEE LAND TRUST INC,REISTERSTOWN,MD
521948507,WOODROW WILSON HIGH SCHOOL ALUMNI ASSOCIATION,CHEVY CHASE,MD
205969635,WOODSIDE FOUNDATION,BALTIMORE,MD
237300625,WORCESTER COUNTY DEVELOPMENTAL CENTER,NEWARK,MD
526080789,WORCESTER COUNTY HISTORICAL SOCIETY INCORPORATED,SNOW HILL,MD
521122738,WORCESTER COUNTY HUMANE SOCIETY INCORPORATED,BERLIN,MD
521950569,WORCESTER COUNTY INTERFAITH VOLUNTEER CAREGIVERS INC,BISHOPVILLE,MD
521227987,WORCESTER YOUTH & FAMILY COUNSELING SERVICE INC,BERLIN,MD
462725986,WORKSOURCE MONTGOMERY INC,ROCKVILLE,MD
320267275,WORLD ACADEMIC SPORTS TEAM INC,LAUREL,MD
820580616,WORLD ARTISTS EXPERIENCES INC,ARNOLD,MD
203379328,WORLD CHARITY FOUNDATION INC,DAMASCUS,MD
462175648,WORLD FOLK MUSIC ASSOCIATION INC,GAITHERSBURG,MD
562521483,WORLD KUOSHU FEDERATION INC,REISTERSTOWN,MD
521591820,WORLD TRADE CENTER INSTITUTE INC,BALTIMORE,MD
261634765,WORLD WIDE COMMUNITY INC,BOWIE,MD
271100170,WORLDWIDE SHELTERS INC,GLENWOOD,MD
20774036,WORTH THE WAIT REVOLUTION INC,TEMPLE HILLS,MD
273595161,WRITE HOUSE INC,UPPR MARLBORO,MD
522191303,WYATT KYLE SUTKER FOUNDATION,COLUMBIA,MD
522174277,YAN XIN LIFE SCIENCE & TECHNOLOGY FOUNDATION INC,BETHESDA,MD
364567583,YELLOW RIBBON FUND INC,BETHESDA,MD
112971119,YESHIVAT LELLUV OF JERUSALEM INC,BALTIMORE,MD
743215209,YETEMARE YASTEMER,SILVER SPRING,MD
520854683,YMCA MID-DELMARVA FAMILY,SALISBURY,MD
520646895,YOUNG MENS CHRISTIAN ASSOCIATION OF THE CHESAPEAKE INC,EASTON,MD
352452833,YOUNG MUSICIANS INSPIRING CHANGE INC,NORTH POTOMAC,MD
710938280,YOUNG PROFESSIONALS FORUM,SILVER SPRING,MD
10968441,YOUNG VOICES ON CLIMATE CHANGE,SMITHSBURG,MD
562376927,YOUNG WOMEN ON THE MOVE INC,BALTIMORE,MD
521981615,YOUSE-CORRIGAN FOUNDATION INC,BALTIMORE,MD
20735297,YOUTH CHAMPIONS SPORTS ASSOCIATION INC,UPPR MARLBORO,MD
200241799,YOUTH DREAMERS INC,BALTIMORE,MD
520957095,YOUTH FOR CHRIST USA INC,BALTIMORE,MD
520704542,YOUTH FOR CHRIST USA INC,HAMPSTEAD,MD
521700945,YOUTH FOR CHRIST USA INC,GAITHERSBURG,MD
464767493,YOUTH INITIATIVE FUND,OWINGS MILLS,MD
383871021,YOUTH SPEAKS ORG,WALDORF,MD
800112660,YOUTHFEST 2005,SUITLAND,MD
205799931,ZEHAYOM INC,SILVER SPRING,MD
453723935,ZERA MISSIONS INTERNATIONAL INC,SALISBURY,MD
264577762,ZETA SIGMA FOUNDATION INC,BALTIMORE,MD
320253546,ZPUGDC INC,BETHESDA,MD
