EIN,Name,City,State
237161834,FRIENDS NON-PROFIT HOUSING INC,COLUMBIA,MD
521497552,FRIENDS OF AGRICULTURAL RESEARCH BELTSVILLE INC,BELTSVILLE,MD
521805534,FRIENDS OF BBYO INC,ROCKVILLE,MD
521535023,FRIENDS OF BLACKWATER INCORPORATED,CAMBRIDGE,MD
521831971,FRIENDS OF CALVERT COUNTY SENIORS INC,PRNC FREDERCK,MD
521884475,FRIENDS OF CALVERT STATE PARK INC,LUSBY,MD
464482719,FRIENDS OF CHEVY CHASE CIRCLE,CHEVY CHASE,MD
61754545,FRIENDS OF CHINA GARDEN INC,POTOMAC,MD
461576501,FRIENDS OF DELMARVA PUBLIC RADIO INC,RIVERTON,MD
521944318,FRIENDS OF ENOCH PRATT FREE LIBRARY INC,BALTIMORE,MD
61713445,FRIENDS OF HELEN AVALYNNE TAWES GARDEN INC,EDGEWATER,MD
521726045,FRIENDS OF HOSPICE INC,EASTON,MD
454771811,FRIENDS OF ICAHM,BALTIMORE,MD
861130742,FRIENDS OF MICHIGAN WOMENS LACROSSE,POTOMAC,MD
237370815,FRIENDS OF MONTGOMERY COUNTY ANIMALS INC,GERMANTOWN,MD
61661480,FRIENDS OF OLDE MILL INC,MILLERSVILLE,MD
522094989,FRIENDS OF PATTERSON PARK INC,BALTIMORE,MD
711032288,FRIENDS OF RAM FOOTBALL,SALISBURY,MD
900744274,FRIENDS OF SAINT FRANCIS AND SAINT MARY INC,KNOXVILLE,MD
264064235,FRIENDS OF SRI LANKA INCORPORATED,GAITHERSBURG,MD
475459522,FRIENDS OF STEVENSON INC,BALTIMORE,MD
311626247,FRIENDS OF THE CALVERT COUNTY LIBRARY INC,PRNC FREDERCK,MD
205149362,FRIENDS OF THE CHILD ADVOCACY CENTER OF FREDERICK COUNTY,IJAMSVILLE,MD
205735192,FRIENDS OF THE EDWARD F FRYMEMORIAL LIBRARY AT POINT OF ROCKS,PT OF ROCKS,MD
521366961,FRIENDS OF THE INTERNATIONAL CHINESE SNUFF BOTTLE SOCIETY INC,BALTIMORE,MD
522052742,FRIENDS OF THE LAUREL LIBRARY INC,LAUREL,MD
521762392,FRIENDS OF THE LIBRARY MONTGOMERY COUNTY MD INC,BETHESDA,MD
522288866,FRIENDS OF THE PEAK INSTITUTE INC,DERWOOD,MD
161775466,FRIENDS OF TOLSONS CHAPEL,SHARPSBURG,MD
510534557,FRIENDS OF USU,ROCKVILLE,MD
521684781,FRIENDS OF VILLA MARIA INC,TIMONIUM,MD
520701445,FRIENDS RESEARCH INSTITUTE INC,BALTIMORE,MD
521359841,FRIENDSHIP FIRE ASSOCIATION,N BETHESDA,MD
208306860,FRIENDSHIP OUTREACH CENTER INC,PARKVILLE,MD
522055816,FRISKYS WILDLIFE & PRIMATE SANCTUARY INC,WOODSTOCK,MD
262670099,FRUITLAND FALCONS FOOTBALL INC,SALISBURY,MD
521070776,FRUITLAND VOLUNTEER FIRE COMPANY INC,FRUITLAND,MD
455396766,FSK INSTRUMENTAL MUSIC BOOSTERS INC,UNION BRIDGE,MD
311662222,FUND FOR CHANGE INC,BALTIMORE,MD
521284384,FUND FOR ENDOWMENT OF DIPLOMATIC RECEPTION ROOMS OF DEPT OF STATE,BETHESDA,MD
522174274,FUND FOR JEWISH GENETIC MEDICINE INC,BALTIMORE,MD
520194032,FUND FOR SOCIAL WELFARE INC,LUTHVLE TIMON,MD
300086836,FUND TO PROMOTE AWARENESS OF OCCUPATIONAL THERAPY,BETHESDA,MD
311603118,FUNDACION NEPYTYVO,SILVER SPRING,MD
